구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,관악구,발생량,발생량,327.5,129.2,129.2,0,0,0,0,0,129.2,0,0,0,0,0,0,97.9,44.6,6.2,3.8,11.2,16,0,0.3,0.1,0,0,0.1,7.3,7.3,0,0,0.3,0.7,100.4
서울,관악구,처리방법,매립,98.2,98.2,98.2,0,0,0,0,0,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,관악구,처리방법,소각,31,31,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,관악구,처리방법,재활용,198.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9,44.6,6.2,3.8,11.2,16,0,0.3,0.1,0,0,0.1,7.3,7.3,0,0,0.3,0.7,100.4
서울,서초구,발생량,발생량,475.5,146.1,140.9,0,57.6,14.3,16.6,43.4,9,5.2,1.8,2.3,0.8,0.3,0,160.8,69.7,46.7,2.1,27.4,8.8,0,0.7,0.1,0,0,0.1,5.2,0,0,0,0,0,168.6
서울,서초구,처리방법,매립,37.4,37.4,32.2,0,13.3,2.9,4.2,10.6,1.2,5.2,1.8,2.3,0.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,서초구,처리방법,소각,108.7,108.7,108.7,0,44.3,11.4,12.4,32.8,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,서초구,처리방법,재활용,329.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.8,69.7,46.7,2.1,27.4,8.8,0,0.7,0.1,0,0,0.1,5.2,0,0,0,0,0,168.6
서울,강남구,발생량,발생량,699.9,227,207.7,0.2,0.4,0.2,0.2,0.2,206.5,19.3,0.8,0.2,0,18.3,0,194.6,35,43.8,14.2,13.5,29.2,0,0,0,0,0,2,8.3,1.5,0,13.7,1.1,32.3,278.3
서울,강남구,처리방법,매립,106,106,86.7,0.1,0.1,0.1,0.1,0,86.3,19.3,0.8,0.2,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강남구,처리방법,소각,121,121,121,0.1,0.3,0.1,0.1,0.2,120.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강남구,처리방법,재활용,472.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.6,35,43.8,14.2,13.5,29.2,0,0,0,0,0,2,8.3,1.5,0,13.7,1.1,32.3,278.3
서울,송파구,발생량,발생량,498.6,161.8,140.5,14.3,62.7,16.1,12.5,12.5,22.4,21.3,7.5,7.7,0,6.1,0,161.9,71.5,23,11.5,8.5,21.3,0,0.8,0.1,0,0,0.2,12.5,2.5,0,4.9,0,5.1,174.9
서울,송파구,처리방법,매립,64,64,56.2,6.4,18.4,7.6,5.8,5.8,12.2,7.8,2.8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,송파구,처리방법,소각,97.8,97.8,84.3,7.9,44.3,8.5,6.7,6.7,10.2,13.5,4.7,4.7,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,송파구,처리방법,재활용,336.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.9,71.5,23,11.5,8.5,21.3,0,0.8,0.1,0,0,0.2,12.5,2.5,0,4.9,0,5.1,174.9
서울,강동구,발생량,발생량,349.5,109.8,96.3,0,2.5,2.3,5,1.6,84.9,13.5,1.9,3.2,1.5,6.9,0,121,53.5,21.8,13.2,9.8,5.4,0,0.3,0.1,0,0,0.1,5.7,0.2,0,9.9,0.3,0.7,118.7
서울,강동구,처리방법,매립,53.9,53.9,45.5,0,2.2,0.8,0.9,0.9,40.7,8.4,1.8,1.5,1.2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강동구,처리방법,소각,55.9,55.9,50.8,0,0.3,1.5,4.1,0.7,44.2,5.1,0.1,1.7,0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강동구,처리방법,재활용,239.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,53.5,21.8,13.2,9.8,5.4,0,0.3,0.1,0,0,0.1,5.7,0.2,0,9.9,0.3,0.7,118.7
